feature,importance
tradeTime_season_3,144
plate_卫数量_mean,144
houseToward_南北,143
plate_室面积_max,142
plate_area_min,141
buildYear_now_trade_interval_max,140
buildYear_now_trade_interval_median,140
plate_now_trade_interval_skew,139
plate_now_trade_interval_median,139
buildYear_remainNewNum_median,137
plate_卫面积_mean,137
buildYear_totalTradeArea_median,137
plate_mean_area_median,136
plate_室面积_min,135
plate_totalTradeMoney_skew,135
buildYear_totalFloor_max,135
gymNum,134
plate_totalFloor_skew,134
plate_now_build_interval_min,134
plate_uv_pv_ratio_median,134
buildYear_室面积_max,133
plate_totalFloor_max,132
plate_uv_pv_ratio_mean,132
卫数量,131
buildYear_pv_median,131
superMarketNum,130
plate_厅面积_max,128
buildYear_uv_mean,127
privateSchoolNum,127
plate_totalTradeArea_skew,122
tradeTime_season_2,121
buildYear_area_mean,121
buildYear_nums,120
buildYear_area_median,118
supplyLandArea,118
rentType_未知方式,117
buildYear_totalFloor_sum,116
plate_卫面积_max,116
buildYear_tradeNewMeanPrice_max,112
plate_室面积_median,111
plate_tradeMeanPrice_max,110
houseToward_暂无数据,108
plate_area_mean,108
厅数量,108
schoolNum,107
plate_tradeNewMeanPrice_median,106
shopNum,106
interSchoolNum,104
buildYear_tradeMeanPrice_max,102
buildYear_卫面积_median,102
communityName_室数量_median,101
communityName_室数量_max,101
buildYear_室面积_median,101
plate_卫面积_median,100
buildYear_area_sum,100
plate_室面积_mean,100
plate_nums,100
buildYear_卫数量_mean,98
houseFloor_高,98
plate_tradeNewMeanPrice_sum,96
mallNum,95
plate_pv_min,95
buildYear_pv_min,95
plate_totalFloor_sum,95
plate_tradeMeanPrice_sum,94
buildYear_pv_max,92
communityName_卫数量_max,92
plate_uv_min,91
buildYear_室面积_mean,91
buildYear_uv_median,91
plate_厅数量_mean,88
plate_remainNewNum_mean,87
parkNum,87
plate_now_build_interval_median,84
subwayStationNum,83
plate_remainNewNum_min,79
buildYear_厅面积_median,79
plate_area_sum,77
buildYear_卫面积_mean,76
buildYear_remainNewNum_sum,76
plate_remainNewNum_max,72
drugStoreNum,71
plate_厅面积_mean,70
buildYear_厅数量_mean,70
plate_tradeNewMeanPrice_min,69
plate_remainNewNum_sum,69
landMeanPrice,69
buildYear_pv_sum,68
houseToward_北,67
communityName_now_build_interval_min,65
plate_totalTradeMoney_min,63
buildYear_totalFloor_min,61
buildYear_uv_min,60
buildYear_totalTradeMoney_max,60
stationNum,59
buildYear_totalFloor_median,59
plate_totalFloor_min,59
plate_totalTradeMoney_max,58
buildYear_tradeNewMeanPrice_sum,58
lifeHouseNum,58
tradeLandArea,58
hospitalNum,58
plate_pv_max,57
tradeTime_season_4,57
landTotalPrice,56
buildYear_totalTradeMoney_sum,56
plate_totalTradeArea_min,56
houseFloor_低,55
buildYear_室数量_max,55
plate_totalTradeArea_max,54
plate_totalTradeMoney_sum,53
plate_uv_pv_ratio_sum,53
supplyLandNum,52
communityName_卫数量_median,51
buildYear_tradeMeanPrice_sum,51
buildYear_厅面积_mean,49
plate_remainNewNum_median,49
medicalNum,47
communityName_室数量_min,46
plate_pv_median,44
buildYear_mean_area_sum,44
plate_totalFloor_median,43
plate_厅面积_sum,42
buildYear_厅数量_max,42
buildYear_uv_pv_ratio_max,42
plate_uv_median,41
plate_室数量_max,41
plate_now_trade_interval_sum,41
plate_mean_area_sum,40
communityName_now_build_interval_max,39
plate_pv_sum,38
plate_totalTradeMoney_mean,38
buildYear_uv_max,38
plate_uv_max,37
buildYear_厅面积_sum,37
plate_totalTradeArea_sum,35
plate_室数量_sum,35
tradeTime_season_1,35
buildYear_totalTradeMoney_min,35
plate_totalTradeMoney_median,35
plate_totalTradeArea_mean,35
houseToward_东南,33
plate_pv_mean,32
buildYear_卫数量_max,31
buildYear_totalTradeArea_max,31
buildYear_tradeMeanPrice_min,29
plate_室面积_sum,29
buildYear_now_trade_interval_sum,28
plate_uv_mean,28
plate_uv_sum,27
communityName_厅数量_min,26
buildYear_totalTradeArea_sum,26
buildYear_uv_sum,25
plate_totalTradeArea_median,25
plate_卫面积_sum,24
buildYear_totalTradeArea_min,24
plate_卫面积_min,23
communityName_厅数量_median,22
tradeLandNum,22
plate_厅数量_sum,21
buildYear_卫面积_min,21
houseToward_西南,20
plate_厅数量_max,19
buildYear_remainNewNum_min,19
houseToward_东,19
communityName_厅数量_max,18
houseToward_西,16
buildYear_室数量_sum,15
plate_卫数量_max,14
buildYear_室面积_sum,14
communityName_卫数量_min,13
plate_now_trade_interval_min,13
